team_id,team_url,team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2024-2025/Arsenal-Stats,Arsenal,25,56.9,38.0,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,852,540,286,483,382,16894,1801,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/8602292d/Aston-Villa-Stats,Aston Villa,28,50.5,38.0,21699,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,68906,36242,720,448,212,508,386,14423,1331,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/4ba7cbea/Bournemouth-Stats,Bournemouth,29,48.5,38.0,21618,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,69030,36709,754,534,228,597,350,12855,1474,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/cd051869/Brentford-Stats,Brentford,28,47.9,38.0,21491,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,61938,31661,598,380,213,549,300,13153,1339,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,Brighton,32,52.3,38.0,23677,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,76882,41746,816,576,263,583,344,15637,1522,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
cff3d9bb,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,Chelsea,29,57.1,38.0,25217,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,78314,41394,861,493,317,466,297,17888,1576,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/47c64c55/Crystal-Palace-Stats,Crystal Palace,29,42.8,38.0,20389,2570,7689,8441,4456,797,20385,500,209,41.8,241,48.2,10275,51887,25304,510,354,126,491,339,11783,1140,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/d3fd31cc/Everton-Stats,Everton,26,40.9,38.0,19408,2462,6930,7927,4762,732,19406,636,283,44.5,305,48.0,9535,51039,25414,486,364,119,525,390,11309,1023,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/fd962109/Fulham-Stats,Fulham,26,52.3,38.0,23926,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,73723,38440,786,544,213,515,281,16043,1544,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/b74092de/Ipswich-Town-Stats,Ipswich Town,32,40.6,38.0,19091,3012,7764,7504,4032,605,19089,643,277,43.1,290,45.1,9384,53235,26144,513,330,150,538,347,11405,920,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/a2d435b3/Leicester-City-Stats,Leicester City,32,45.4,38.0,21748,2881,8066,9845,4048,632,21745,638,264,41.4,304,47.6,12276,61780,30421,576,365,143,500,336,13828,1072,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
822bd0ba,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,Liverpool,24,57.7,38.0,25905,2422,7285,11575,7274,1315,25896,677,301,44.5,310,45.8,14931,76208,41047,825,558,322,532,350,18113,1910,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
b8fd03ef,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,Manchester City,30,61.3,38.0,28103,2092,6503,12076,9753,1348,28099,799,377,47.2,301,37.7,18077,103744,56163,1146,863,404,476,395,21242,1920,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/19538871/Manchester-United-Stats,Manchester Utd,31,53.5,38.0,24734,2553,8593,10460,5908,967,24730,621,252,40.6,323,52.0,15116,75007,37992,697,475,230,521,353,16672,1433,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
b2b47a98,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,Newcastle Utd,24,51.3,38.0,23032,2284,7468,9671,6124,1082,23026,657,282,42.9,298,45.4,13016,71021,36065,759,474,263,491,438,15294,1583,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/e4a775cb/Nottingham-Forest-Stats,Nott'ham Forest,23,41.2,38.0,18996,2463,6477,7689,5063,785,18993,581,259,44.6,233,40.1,8768,49825,26563,633,384,187,563,324,10733,1117,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/33c895d4/Southampton-Stats,Southampton,36,48.5,38.0,22776,3003,8424,9788,4766,688,22774,736,312,42.4,333,45.2,12656,66945,34286,640,460,165,486,355,15394,1118,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
361ca564,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,Tottenham,31,54.7,38.0,24315,2626,8159,10173,6223,1001,24311,812,308,37.9,425,52.3,15073,82903,41758,840,566,249,538,426,16373,1582,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/7c21e445/West-Ham-United-Stats,West Ham,27,48.4,38.0,22887,2942,8352,9852,4896,839,22884,793,347,43.8,360,45.4,11796,59439,29684,632,394,175,492,392,14712,1214,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
squads,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,Wolves,32,48.1,38.0,22329,2578,7797,10051,4750,729,22328,731,324,44.3,315,43.1,12486,66974,34365,607,458,146,591,369,14358,1179,9,2024-2025,f89ed54c-fbfe-4eef-8506-0786ba5a16fe
