team_id,team_url,team,players_used_away,minutes_90s_away,gk_goals_against_away,gk_pens_allowed_away,gk_free_kick_goals_against_away,gk_corner_kick_goals_against_away,gk_own_goals_against_away,gk_psxg_away,gk_psnpxg_per_shot_on_target_against_away,gk_psxg_net_away,gk_psxg_net_per90_away,gk_passes_completed_launched_away,gk_passes_launched_away,gk_passes_pct_launched_away,gk_passes_away,gk_passes_throws_away,gk_pct_passes_launched_away,gk_passes_length_avg_away,gk_goal_kicks_away,gk_pct_goal_kicks_launched_away,gk_goal_kick_length_avg_away,gk_crosses_away,gk_crosses_stopped_away,gk_crosses_stopped_pct_away,gk_def_actions_outside_pen_area_away,gk_def_actions_outside_pen_area_per90_away,gk_avg_distance_def_actions_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2021-2022/Atalanta-Stats,vs Atalanta,3,38.0,65,5,0,2,3,54.5,0.29,-7.5,-0.20,260,725,35.9,1229,121,46.1,38.1,335,47.5,37.0,518,17,3.3,32,0.84,14.1,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
1d8099f8,/en/squads/1d8099f8/2021-2022/Bologna-Stats,vs Bologna,3,38.0,44,4,1,9,1,41.8,0.26,-1.2,-0.03,173,466,37.1,876,160,40.2,36.6,257,44.4,36.6,481,30,6.2,34,0.89,13.9,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
c4260e09,/en/squads/c4260e09/2021-2022/Cagliari-Stats,vs Cagliari,2,38.0,34,3,1,4,0,36.6,0.27,+2.6,+0.07,170,461,36.9,996,161,34.8,33.6,251,45.4,37.9,512,21,4.1,34,0.89,14.5,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
a3d88bd8,/en/squads/a3d88bd8/2021-2022/Empoli-Stats,vs Empoli,1,38.0,50,7,0,6,3,41.1,0.22,-5.9,-0.16,204,477,42.8,953,200,38.0,36.6,298,38.6,33.7,532,22,4.1,32,0.84,14.1,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
421387cf,/en/squads/421387cf/2021-2022/Fiorentina-Stats,vs Fiorentina,2,38.0,59,9,4,4,0,60.1,0.28,+1.1,+0.03,238,595,40.0,1145,153,39.1,34.6,326,45.1,34.4,597,24,4.0,22,0.58,12.4,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
658bf2de,/en/squads/658bf2de/2021-2022/Genoa-Stats,vs Genoa,2,38.0,27,6,0,2,1,31.3,0.22,+5.3,+0.14,206,504,40.9,1044,144,34.5,33.5,287,50.2,39.0,516,30,5.8,20,0.53,12.9,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
0e72edf2,/en/squads/0e72edf2/2021-2022/Hellas-Verona-Stats,vs Hellas Verona,3,38.0,65,7,0,2,2,52.0,0.29,-11.0,-0.29,290,768,37.8,1136,139,51.4,40.1,329,55.9,41.0,445,11,2.5,34,0.89,15.6,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
d609edc0,/en/squads/d609edc0/2021-2022/Internazionale-Stats,vs Inter,2,38.0,84,7,1,12,1,75.3,0.27,-7.7,-0.20,175,497,35.2,996,194,33.1,34.2,336,49.7,40.4,628,29,4.6,27,0.71,13.1,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
e0652b02,/en/squads/e0652b02/2021-2022/Juventus-Stats,vs Juventus,3,38.0,57,5,0,7,1,50.3,0.27,-5.7,-0.15,205,519,39.5,875,135,42.5,36.5,327,45.0,36.4,443,17,3.8,26,0.68,12.6,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
7213da33,/en/squads/7213da33/2021-2022/Lazio-Stats,vs Lazio,2,38.0,77,7,0,5,3,64.8,0.29,-9.2,-0.24,194,452,42.9,1086,182,30.2,31.3,258,48.1,38.8,443,20,4.5,32,0.84,13.2,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
dc56fe14,/en/squads/dc56fe14/2021-2022/Milan-Stats,vs Milan,2,38.0,69,5,4,4,3,59.9,0.29,-6.1,-0.16,258,539,47.9,945,156,41.2,35.3,319,47.0,37.1,534,24,4.5,27,0.71,13.6,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
d48ad4ff,/en/squads/d48ad4ff/2021-2022/Napoli-Stats,vs Napoli,3,38.0,74,10,0,8,0,61.1,0.25,-12.9,-0.34,208,501,41.5,993,159,37.2,34.5,280,47.1,37.7,422,19,4.5,35,0.92,14.3,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
cf74a709,/en/squads/cf74a709/2021-2022/Roma-Stats,vs Roma,1,38.0,59,7,3,11,1,61.0,0.28,+3.0,+0.08,166,460,36.1,977,191,32.1,32.9,329,44.4,36.4,574,30,5.2,33,0.87,12.7,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
c5577084,/en/squads/c5577084/2021-2022/Salernitana-Stats,vs Salernitana,3,38.0,33,4,4,5,1,35.1,0.24,+3.1,+0.08,126,332,38.0,915,169,28.0,31.6,216,35.2,33.2,548,29,5.3,23,0.61,13.3,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
8ff9e3b3,/en/squads/8ff9e3b3/2021-2022/Sampdoria-Stats,vs Sampdoria,3,38.0,46,2,1,6,4,36.0,0.27,-6.0,-0.16,170,435,39.1,933,142,37.0,34.6,235,38.3,33.8,497,23,4.6,22,0.58,14.2,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
e2befd26,/en/squads/e2befd26/2021-2022/Sassuolo-Stats,vs Sassuolo,3,38.0,64,7,1,3,4,62.7,0.27,+2.7,+0.07,207,404,51.2,925,169,31.9,30.8,271,40.2,34.0,426,23,5.4,37,0.97,15.6,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
68449f6d,/en/squads/68449f6d/2021-2022/Spezia-Stats,vs Spezia,3,38.0,41,3,0,4,3,42.5,0.30,+4.5,+0.12,165,416,39.7,984,167,32.4,32.5,236,41.1,34.8,408,16,3.9,36,0.95,16.0,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
105360fe,/en/squads/105360fe/2021-2022/Torino-Stats,vs Torino,3,38.0,46,6,0,4,3,45.6,0.27,+2.6,+0.07,312,757,41.2,1164,125,52.8,40.5,284,50.0,36.6,519,22,4.2,35,0.92,15.5,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
04eea015,/en/squads/04eea015/2021-2022/Udinese-Stats,vs Udinese,2,38.0,61,3,3,7,3,52.9,0.28,-5.1,-0.13,137,386,35.5,932,193,31.1,32.5,252,38.1,34.1,415,25,6.0,33,0.87,12.8,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
af5d5982,/en/squads/af5d5982/2021-2022/Venezia-Stats,vs Venezia,3,38.0,34,3,0,2,0,34.2,0.25,+0.2,+0.01,173,395,43.8,892,173,31.8,33.2,243,45.7,37.2,467,38,8.1,32,0.84,13.9,11,2021-2022,39327f34-703b-4559-bd9e-8b61a512ebef
